'time','angle','omega'
1.395184,0.785,0.838
2.224001,1.570,1.047
2.918184,2.355,1.217
3.525724,3.140,1.371
4.070384,3.925,1.507
4.570984,4.710,1.623
5.039981,5.495,1.729
5.480884,6.280,1.833
5.897628,7.065,1.935
6.293284,7.850,2.022
6.674484,8.635,2.108
7.038684,9.420,2.203
7.387785,10.205,2.294
7.723522,10.990,2.374
8.049328,11.775,2.452
8.364122,12.560,2.534
8.669186,13.345,2.615
8.964887,14.130,2.682
9.254787,14.915,2.747
9.536688,15.700,2.820
