time,angle,omega
1.034784,0.785,1.328
1.575183,1.570,1.577
2.041184,2.355,1.797
2.455085,3.140,1.998
2.830683,3.925,2.191
3.174504,4.710,2.365
3.496083,5.495,2.523
3.797990,6.280,2.672
4.084509,7.065,2.804
4.358483,7.850,2.922
4.622281,8.635,3.042
4.874990,9.420,3.167
5.118383,10.205,3.290
5.352483,10.990,3.402
5.580083,11.775,3.507
5.800383,12.560,3.615
6.014504,13.345,3.713
6.223386,14.130,3.798
6.427986,14.915,3.887
6.627393,15.700,3.983
6.822283,16.485,4.080
7.012305,17.270,4.166
7.199185,18.055,4.252
7.381685,18.840,4.344
7.560686,19.625,4.424
7.736586,20.410,4.491
7.910284,21.195,4.566
8.080504,21.980,4.648
8.248086,22.765,4.731
8.412392,23.550,4.804
8.574926,24.335,4.876
8.734426,25.120,4.958
8.891614,25.905,5.028
9.046725,26.690,5.083
9.200489,27.475,5.146
9.351827,28.260,5.222
9.501189,29.045,5.300
9.648113,29.830,5.362
9.793990,30.615,5.424
