time,angle,omega
0.746584,0.785,1.388
1.260784,1.570,1.649
1.707984,2.355,1.866
2.107624,3.140,2.072
2.469584,3.925,2.269
2.802095,4.710,2.448
3.112482,5.495,2.620
3.402630,6.280,2.787
3.676684,7.065,2.943
3.936784,7.850,3.075
4.187584,8.635,3.195
4.428584,9.420,3.324
4.660284,10.205,3.450
4.883894,10.990,3.564
5.101028,11.775,3.681
5.310684,12.560,3.805
5.513820,13.345,3.924
5.710984,14.130,4.021
5.904384,14.915,4.113
6.092796,15.700,4.218
6.276684,16.485,4.318
6.456488,17.270,4.403
6.633317,18.055,4.494
6.805917,18.840,4.597
6.974909,19.625,4.697
7.140223,20.410,4.777
7.303620,21.195,4.852
7.463885,21.980,4.943
7.621285,22.765,5.028
7.776186,23.550,5.094
7.929486,24.335,5.170
8.079901,25.120,5.262
8.227887,25.905,5.352
8.373287,26.690,5.421
8.517527,27.475,5.484
8.659588,28.260,5.566
8.799626,29.045,5.640
8.937990,29.830,5.695
9.075330,30.615,5.760
9.210590,31.400,5.844
9.344004,32.185,5.927
9.475490,32.970,5.988
9.606202,33.755,6.046
9.735190,34.540,6.124
9.862594,35.325,6.193
