'time','angle','omega'
1.503084,0.785,0.692
2.494384,1.570,0.908
3.279603,2.355,1.106
3.936684,3.140,1.289
4.509117,3.925,1.457
5.020784,4.710,1.602
5.492329,5.495,1.724
5.933516,6.280,1.830
6.351302,7.065,1.922
6.750985,7.850,2.003
7.135586,8.635,2.094
7.501685,9.420,2.197
7.851085,10.205,2.302
8.184522,10.990,2.396
8.506786,11.775,2.480
8.817886,12.560,2.557
9.120889,13.345,2.621
9.416998,14.130,2.676
9.707630,14.915,2.743
