time,angle,omega
0.096771,0.785,15.923
0.145971,1.570,15.935
0.195294,2.355,15.948
0.244417,3.140,15.943
0.293771,3.925,15.891
0.343218,4.710,15.891
0.392571,5.495,15.882
0.442071,6.280,15.859
0.491571,7.065,15.887
0.540897,7.850,15.886
0.590402,8.635,15.895
0.639671,9.420,15.896
0.689172,10.205,15.843
0.738771,10.990,15.843
0.788270,11.775,15.843
0.837872,12.560,15.822
0.887501,13.345,15.843
0.936971,14.130,15.841
0.986611,14.915,15.852
1.036011,15.700,15.849
1.085671,16.485,15.801
1.135371,17.270,15.807
1.184995,18.055,15.795
1.234771,18.840,15.767
1.284571,19.625,15.795
1.334171,20.410,15.795
1.383971,21.195,15.806
1.433501,21.980,15.811
1.483271,22.765,15.752
1.533171,23.550,15.758
1.582906,24.335,15.759
1.632796,25.120,15.721
1.682771,25.905,15.746
1.732506,26.690,15.747
1.782471,27.475,15.761
1.832118,28.260,15.764
1.882069,29.045,15.707
1.932071,29.830,15.715
1.981972,30.615,15.714
2.031981,31.400,15.683
2.082080,32.185,15.702
2.131971,32.970,15.702
2.182071,33.755,15.716
2.231873,34.540,15.724
2.281916,35.325,15.668
2.332077,36.110,15.660
2.382171,36.895,15.662
2.432317,37.680,15.637
2.482571,38.465,15.656
2.532598,39.250,15.662
2.582816,40.035,15.671
2.632786,40.820,15.675
2.682973,41.605,15.623
2.733279,42.390,15.620
2.783486,43.175,15.618
2.833805,43.960,15.590
2.884194,44.745,15.611
2.934376,45.530,15.610
2.984771,46.315,15.623
3.034871,47.100,15.636
3.085182,47.885,15.575
3.135671,48.670,15.575
3.185984,49.455,15.575
3.236471,50.240,15.545
3.286980,51.025,15.570
3.337308,51.810,15.570
3.387818,52.595,15.581
3.438074,53.380,15.583
3.488571,54.165,15.530
3.539171,54.950,15.529
3.589671,55.735,15.529
3.640271,56.520,15.498
3.690972,57.305,15.523
3.741411,58.090,15.529
3.792071,58.875,15.536
3.842471,59.660,15.542
3.893085,60.445,15.483
3.943871,61.230,15.485
3.994471,62.015,15.483
4.045271,62.800,15.453
4.096071,63.585,15.483
4.146671,64.370,15.483
4.197472,65.155,15.493
4.248005,65.940,15.498
4.298777,66.725,15.443
4.349671,67.510,15.438
4.400471,68.295,15.438
4.451371,69.080,15.407
4.502371,69.865,15.435
4.553089,70.650,15.438
4.604071,71.435,15.449
4.654718,72.220,15.453
4.705671,73.005,15.398
4.756682,73.790,15.401
4.807609,74.575,15.394
4.858671,75.360,15.367
4.909778,76.145,15.389
4.960692,76.930,15.391
5.011783,77.715,15.404
5.062618,78.500,15.407
5.113686,79.285,15.354
5.164874,80.070,15.349
5.215972,80.855,15.347
5.267171,81.640,15.326
5.318412,82.425,15.347
5.369471,83.210,15.347
5.420710,83.995,15.359
5.471691,84.780,15.363
5.522906,85.565,15.305
5.574271,86.350,15.308
5.625471,87.135,15.314
5.676794,87.920,15.281
5.728214,88.705,15.299
5.779416,89.490,15.304
5.830802,90.275,15.309
5.881972,91.060,15.318
5.933294,91.845,15.273
5.984771,92.630,15.261
6.036171,93.415,15.258
6.087671,94.200,15.238
6.139202,94.985,15.258
6.190571,95.770,15.259
6.242091,96.555,15.272
6.293371,97.340,15.274
6.344881,98.125,15.223
6.396506,98.910,15.215
6.448072,99.695,15.218
6.499672,100.480,15.196
6.551391,101.265,15.210
6.602895,102.050,15.215
6.654581,102.835,15.225
6.706014,103.620,15.229
6.757677,104.405,15.175
6.809471,105.190,15.170
6.861171,105.975,15.169
6.912972,106.760,15.151
6.964794,107.545,15.169
7.016472,108.330,15.170
7.068290,109.115,15.184
7.119873,109.900,15.185
7.171683,110.685,15.134
7.223614,111.470,15.127
7.275474,112.255,15.128
7.327394,113.040,15.105
7.379416,113.825,15.114
7.431274,114.610,15.125
7.483218,115.395,15.140
7.534976,116.180,15.139
7.586922,116.965,15.092
7.639008,117.750,15.086
7.690993,118.535,15.083
7.743098,119.320,15.055
7.795278,120.105,15.070
7.847278,120.890,15.079
7.899396,121.675,15.095
7.951290,122.460,15.094
8.003413,123.245,15.040
8.055679,124.030,15.040
8.107805,124.815,15.038
8.160080,125.600,15.010
8.212403,126.385,15.032
8.264527,127.170,15.027
8.316881,127.955,15.045
8.368886,128.740,15.053
8.421182,129.525,14.996
8.473582,130.310,14.995
8.525883,131.095,14.995
8.578287,131.880,14.967
8.630783,132.665,14.981
8.683084,133.450,14.990
8.735522,134.235,15.004
8.787726,135.020,15.001
8.840185,135.805,14.953
8.892724,136.590,14.952
8.945185,137.375,14.944
8.997786,138.160,14.920
9.050410,138.945,14.938
9.102886,139.730,14.941
9.155487,140.515,14.953
9.207886,141.300,14.960
9.260431,142.085,14.909
9.313189,142.870,14.902
9.365789,143.655,14.908
9.418501,144.440,14.878
9.471312,145.225,14.894
9.523911,146.010,14.898
9.576694,146.795,14.910
9.629214,147.580,14.910
9.681991,148.365,14.857
9.734891,149.150,14.863
9.787620,149.935,14.865
9.840510,150.720,14.829
9.893492,151.505,14.850
