time,angle,omega
0.107984,0.785,15.082
0.159883,1.570,15.082
0.212083,2.355,15.024
0.264383,3.140,15.032
0.316526,3.925,15.024
0.368883,4.710,14.996
0.421219,5.495,15.023
0.473390,6.280,15.015
0.525784,7.065,15.025
0.577884,7.850,15.038
0.630183,8.635,14.990
0.682621,9.420,14.981
0.734983,10.205,14.972
0.787481,10.990,14.952
0.839983,11.775,14.977
0.892308,12.560,14.975
0.944825,13.345,14.985
0.997083,14.130,14.987
1.049583,14.915,14.938
1.102183,15.700,14.938
1.154683,16.485,14.935
1.207304,17.270,14.906
1.260013,18.055,14.925
1.312499,18.840,14.928
1.365183,19.625,14.941
1.417584,20.410,14.946
1.470230,21.195,14.893
1.523004,21.980,14.888
1.575683,22.765,14.884
1.628483,23.550,14.862
1.681324,24.335,14.882
1.733984,25.120,14.884
1.786804,25.905,14.896
1.839384,26.690,14.898
1.892186,27.475,14.849
1.945115,28.260,14.840
1.997983,29.045,14.843
2.050886,29.830,14.821
2.103915,30.615,14.834
2.156725,31.400,14.839
2.209718,32.185,14.845
2.262484,32.970,14.853
2.315422,33.755,14.807
2.368513,34.540,14.801
2.421499,35.325,14.797
2.474617,36.110,14.768
2.527808,36.895,14.788
2.580783,37.680,14.787
2.633983,38.465,14.798
2.686883,39.250,14.811
2.739984,40.035,14.756
2.793282,40.820,14.756
2.846385,41.605,14.756
2.899683,42.390,14.722
2.953027,43.175,14.742
3.006183,43.960,14.747
3.059491,44.745,14.756
3.112583,45.530,14.757
3.165883,46.315,14.714
3.219284,47.100,14.713
3.272595,47.885,14.700
3.326084,48.670,14.675
3.379583,49.455,14.701
3.432883,50.240,14.700
3.486384,51.025,14.713
3.539593,51.810,14.714
3.593083,52.595,14.661
3.646683,53.380,14.659
3.700184,54.165,14.659
3.753784,54.950,14.632
3.807484,55.735,14.654
3.860925,56.520,14.659
3.914590,57.305,14.665
3.967986,58.090,14.669
4.021620,58.875,14.618
4.075387,59.660,14.610
4.129083,60.445,14.605
4.182883,61.230,14.588
4.236703,62.015,14.605
4.290383,62.800,14.607
4.344189,63.585,14.618
4.397783,64.370,14.619
4.451583,65.155,14.574
4.505510,65.940,14.564
4.559384,66.725,14.564
4.613308,67.510,14.537
4.667383,68.295,14.554
4.721183,69.080,14.564
4.775183,69.865,14.573
4.828919,70.650,14.575
4.882902,71.435,14.524
4.937018,72.220,14.520
4.991029,73.005,14.515
5.045183,73.790,14.489
5.099384,74.575,14.510
5.153384,75.360,14.510
5.207583,76.145,14.524
5.261484,76.930,14.533
5.315617,77.715,14.480
5.369908,78.500,14.474
5.424088,79.285,14.472
5.478392,80.070,14.444
5.532783,80.855,14.458
5.586984,81.640,14.467
5.641307,82.425,14.482
5.695396,83.210,14.480
5.749730,83.995,14.430
5.804200,84.780,14.423
5.858583,85.565,14.419
5.913084,86.350,14.401
5.967602,87.135,14.417
6.021983,87.920,14.419
6.076483,88.705,14.430
6.130784,89.490,14.430
6.185284,90.275,14.390
6.239889,91.060,14.386
6.294416,91.845,14.378
6.349084,92.630,14.352
6.403810,93.415,14.372
6.458324,94.200,14.375
6.513029,94.985,14.383
6.567483,95.770,14.383
6.622184,96.555,14.338
6.676983,97.340,14.338
6.731683,98.125,14.338
6.786484,98.910,14.311
6.841390,99.695,14.325
6.896085,100.480,14.326
6.950985,101.265,14.338
7.005585,102.050,14.347
7.060418,102.835,14.297
7.115400,103.620,14.290
7.170286,104.405,14.288
7.225286,105.190,14.260
7.280387,105.975,14.280
7.335228,106.760,14.286
7.390288,107.545,14.291
7.445088,108.330,14.298
7.500094,109.115,14.247
7.555288,109.900,14.246
7.610298,110.685,14.247
7.665490,111.470,14.209
7.720789,112.255,14.234
7.775790,113.040,14.243
7.831022,113.825,14.247
