'time','angle','omega'
2.632212,0.785,0.773
3.554683,1.570,0.958
4.305383,2.355,1.161
4.929584,3.140,1.365
5.468396,3.925,1.546
5.950984,4.710,1.689
6.400183,5.495,1.792
6.828010,6.280,1.859
7.245020,7.065,1.917
7.647403,7.850,1.996
8.032206,8.635,2.097
8.397086,9.420,2.208
8.744217,10.205,2.309
9.077708,10.990,2.389
9.401595,11.775,2.457
