'time','angle','omega'
1.582084,0.785,0.669
2.638184,1.570,0.829
3.510484,2.355,1.001
4.233684,3.140,1.198
4.840908,3.925,1.400
5.366694,4.710,1.572
5.844125,5.495,1.695
6.294384,6.280,1.788
6.723295,7.065,1.857
7.140384,7.850,1.920
7.541485,8.635,2.006
7.923886,9.420,2.112
8.286121,10.205,2.224
8.630797,10.990,2.328
8.961198,11.775,2.413
9.281687,12.560,2.483
9.593612,13.345,2.532
