time,angle,omega
0.833884,0.785,1.454
1.327484,1.570,1.732
1.750984,2.355,1.963
2.131783,3.140,2.152
2.482831,3.925,2.307
2.813521,4.710,2.454
3.123983,5.495,2.606
3.416999,6.280,2.756
3.694484,7.065,2.898
3.959284,7.850,3.034
4.212484,8.635,3.156
4.457085,9.420,3.267
4.693401,10.205,3.365
4.923808,10.990,3.466
5.146684,11.775,3.577
5.362884,12.560,3.687
5.572684,13.345,3.790
5.777298,14.130,3.891
5.976331,14.915,3.989
6.170990,15.700,4.082
6.361028,16.485,4.162
6.548284,17.270,4.242
6.731197,18.055,4.337
6.910384,18.840,4.427
7.085906,19.625,4.508
7.258692,20.410,4.592
7.427886,21.195,4.680
7.594184,21.980,4.767
7.757286,22.765,4.835
7.918887,23.550,4.902
8.077587,24.335,4.986
8.233787,25.120,5.065
8.387599,25.905,5.132
8.539717,26.690,5.208
8.689131,27.475,5.293
8.836390,28.260,5.374
8.981306,29.045,5.434
9.125307,29.830,5.492
9.267191,30.615,5.569
9.407236,31.400,5.640
9.545593,32.185,5.696
9.682893,32.970,5.762
9.818114,33.755,5.839
