"Time","GateState","angle","omega","Angle"
0.163384,0,0.000,,0.000
0.180785,1,,,
0.349790,0,0.524,2.819,0.524
0.366884,1,,,
0.535100,0,1.048,2.825,1.048
0.553490,1,,,
0.720785,0,1.572,2.816,1.572
0.741293,1,,,
0.907303,0,2.096,2.797,2.096
0.930885,1,,,
1.095532,0,2.620,2.773,2.620
1.117785,1,,,
1.285184,0,3.144,2.766,3.144
1.304718,1,,,
1.474384,0,3.668,2.776,3.668
1.492684,1,,,
1.662714,0,4.192,2.796,4.192
1.680585,1,,,
1.849192,0,4.716,2.808,4.716
1.866717,1,,,
2.035985,0,5.240,2.819,5.240
2.053385,1,,,
2.220928,0,5.764,2.845,5.764
2.237985,1,,,
2.404385,0,6.288,2.845,6.288
2.421616,1,,,
2.589285,0,6.812,2.838,6.812
2.606184,1,,,
2.773685,0,7.336,2.841,7.336
2.791985,1,,,
2.958121,0,7.860,2.834,7.860
2.978585,1,,,
3.143485,0,8.384,2.810,8.384
3.167084,1,,,
3.331085,0,8.908,2.786,8.908
3.353185,1,,,
3.519695,0,9.432,2.783,9.432
3.539187,1,,,
3.707685,0,9.956,2.792,9.956
3.725784,1,,,
3.895085,0,10.480,2.803,10.480
3.912884,1,,,
4.081584,0,11.004,2.813,11.004
4.098984,1,,,
4.267585,0,11.528,2.826,11.528
4.284910,1,,,
4.452419,0,12.052,2.848,12.052
4.469490,1,,,
4.635631,0,12.576,2.858,12.576
4.652700,1,,,
4.819085,0,13.100,2.858,13.100
4.835904,1,,,
5.002285,0,13.624,2.861,13.624
5.020485,1,,,
5.185427,0,14.148,2.852,14.148
5.205684,1,,,
5.369711,0,14.672,2.824,14.672
5.393202,1,,,
5.556584,0,15.196,2.796,15.196
5.578584,1,,,
5.744485,0,15.720,2.792,15.720
5.763885,1,,,
5.931906,0,16.244,2.794,16.244
5.950085,1,,,
6.119585,0,16.768,2.806,16.768
6.137287,1,,,
6.305401,0,17.292,2.812,17.292
6.322908,1,,,
6.492296,0,17.816,2.811,17.816
6.509785,1,,,
6.678221,0,18.340,2.843,18.340
6.695285,1,,,
6.860985,0,18.864,,18.864
6.878185,1,,,
