"Time","GateState","angle","omega","Angle"
0.046984,0,0.000,,0.000
0.050684,1,,,
0.085084,0,0.524,13.675,0.524
0.088784,1,,,
0.123625,0,1.048,13.576,1.048
0.127284,1,,,
0.162281,0,1.572,13.454,1.572
0.165993,1,,,
0.201529,0,2.096,13.261,2.096
0.205284,1,,,
0.241320,0,2.620,13.086,2.620
0.245198,1,,,
0.281620,0,3.144,12.913,3.144
0.285584,1,,,
0.322484,0,3.668,12.799,3.668
0.326392,1,,,
0.363503,0,4.192,12.734,4.192
0.367484,1,,,
0.404784,0,4.716,12.645,4.716
0.408828,1,,,
0.446384,0,5.240,12.581,5.240
0.450385,1,,,
0.488084,0,5.764,12.596,5.764
0.492021,1,,,
0.529584,0,6.288,12.537,6.288
0.533688,1,,,
0.571684,0,6.812,12.382,6.812
0.575708,1,,,
0.614230,0,7.336,12.296,7.336
0.618284,1,,,
0.656916,0,7.860,12.163,7.860
0.661086,1,,,
0.700408,0,8.384,11.967,8.384
0.704584,1,,,
0.744498,0,8.908,11.804,8.908
0.748798,1,,,
0.789199,0,9.432,11.646,9.432
0.793584,1,,,
0.834497,0,9.956,11.519,9.956
0.838892,1,,,
0.880184,0,10.480,11.443,10.480
0.884584,1,,,
0.926084,0,11.004,11.365,11.004
0.930605,1,,,
0.972399,0,11.528,11.293,11.528
0.976884,1,,,
1.018884,0,12.052,11.302,12.052
1.023284,1,,,
1.065128,0,12.576,11.246,12.576
1.069723,1,,,
1.112084,0,13.100,11.084,13.100
1.116614,1,,,
1.159684,0,13.624,10.995,13.624
1.164184,1,,,
1.207400,0,14.148,10.870,14.148
1.212084,1,,,
1.256121,0,14.672,10.675,14.672
1.260784,1,,,
1.305585,0,15.196,10.514,15.196
1.310416,1,,,
1.355813,0,15.720,10.347,15.720
1.360702,1,,,
1.406885,0,16.244,10.225,16.244
1.411804,1,,,
1.458311,0,16.768,10.153,16.768
1.463287,1,,,
1.510110,0,17.292,10.051,17.292
1.515284,1,,,
1.562584,0,17.816,9.981,17.816
1.567590,1,,,
1.615109,0,18.340,9.981,18.340
1.620118,1,,,
1.667584,0,18.864,9.909,18.864
1.672799,1,,,
1.720884,0,19.388,9.758,19.388
1.726082,1,,,
1.774992,0,19.912,9.658,19.912
1.780181,1,,,
1.829392,0,20.436,9.530,20.436
1.834709,1,,,
1.884986,0,20.960,9.343,20.960
1.890316,1,,,
1.941584,0,21.484,9.179,21.484
1.947104,1,,,
1.999184,0,22.008,9.020,22.008
2.004796,1,,,
2.057792,0,22.532,8.894,22.532
2.063488,1,,,
2.117025,0,23.056,8.807,23.056
2.122784,1,,,
2.176787,0,23.580,8.708,23.580
2.182728,1,,,
2.237384,0,24.104,8.626,24.104
2.243184,1,,,
2.298284,0,24.628,8.604,24.628
2.304088,1,,,
2.359184,0,25.152,8.526,25.152
2.365284,1,,,
2.421230,0,25.676,8.376,25.676
2.427229,1,,,
2.484316,0,26.200,8.273,26.200
2.490322,1,,,
2.547911,0,26.724,8.135,26.724
2.554184,1,,,
2.613192,0,27.248,7.947,27.248
2.619484,1,,,
2.679805,0,27.772,7.783,27.772
2.686330,1,,,
2.747884,0,28.296,7.624,28.296
2.754484,1,,,
2.817284,0,28.820,7.492,28.820
2.824025,1,,,
2.887784,0,29.344,7.396,29.344
2.894584,1,,,
2.958984,0,29.868,7.308,29.868
2.966081,1,,,
3.031212,0,30.392,7.223,30.392
3.038184,1,,,
3.104084,0,30.916,7.180,30.916
3.111084,1,,,
3.177184,0,31.440,7.097,31.440
3.184426,1,,,
3.251784,0,31.964,6.951,31.964
3.259000,1,,,
3.327984,0,32.488,6.837,32.488
3.335222,1,,,
3.405084,0,33.012,6.691,33.012
3.412684,1,,,
3.484684,0,33.536,6.502,33.536
3.492307,1,,,
3.566314,0,34.060,6.337,34.060
3.574382,1,,,
3.650126,0,34.584,6.168,34.584
3.658324,1,,,
3.736296,0,35.108,6.027,35.108
3.744714,1,,,
3.824027,0,35.632,5.925,35.632
3.832584,1,,,
3.913184,0,36.156,,36.156
3.922084,1,,,
