"Time","GateState","angle","omega","Angle"
0.124200,0,0.000,,0.000
0.135584,1,,,
0.239987,0,0.524,4.612,0.524
0.250983,1,,,
0.351583,0,1.048,4.754,1.048
0.362088,1,,,
0.460482,0,1.572,4.877,1.572
0.470783,1,,,
0.566529,0,2.096,4.984,2.096
0.576883,1,,,
0.670788,0,2.620,5.045,2.620
0.680684,1,,,
0.774283,0,3.144,5.088,3.144
0.784183,1,,,
0.876786,0,3.668,5.135,3.668
0.886883,1,,,
0.978383,0,4.192,5.190,4.192
0.988083,1,,,
1.078721,0,4.716,5.259,4.716
1.088383,1,,,
1.177694,0,5.240,5.354,5.240
1.187183,1,,,
1.274517,0,5.764,5.468,5.764
1.283784,1,,,
1.369383,0,6.288,5.588,6.288
1.378383,1,,,
1.462122,0,6.812,5.726,6.812
1.470983,1,,,
1.552481,0,7.336,5.836,7.336
1.561028,1,,,
1.641720,0,7.860,5.917,7.860
1.650207,1,,,
1.729628,0,8.384,5.997,8.384
1.738217,1,,,
1.816484,0,8.908,6.038,8.908
1.824701,1,,,
1.903183,0,9.432,6.051,9.432
1.911509,1,,,
1.989683,0,9.956,6.075,9.956
1.998183,1,,,
2.075683,0,10.480,6.118,10.480
2.083898,1,,,
2.160997,0,11.004,6.161,11.004
2.169283,1,,,
2.245783,0,11.528,6.227,11.528
2.253900,1,,,
2.329305,0,12.052,6.324,12.052
2.337326,1,,,
2.411516,0,12.576,6.431,12.576
2.419383,1,,,
2.492283,0,13.100,6.552,13.100
2.499983,1,,,
2.571488,0,13.624,6.629,13.624
2.579083,1,,,
2.650383,0,14.148,6.687,14.148
2.657883,1,,,
2.728228,0,14.672,6.751,14.672
2.735883,1,,,
2.805612,0,15.196,6.762,15.196
2.812985,1,,,
2.883203,0,15.720,6.745,15.720
2.890683,1,,,
2.960983,0,16.244,6.749,16.244
2.968602,1,,,
3.038484,0,16.768,6.775,16.768
3.045924,1,,,
3.115681,0,17.292,6.801,17.292
3.123083,1,,,
3.192584,0,17.816,6.855,17.816
3.199983,1,,,
3.268583,0,18.340,6.935,18.340
3.275885,1,,,
3.343709,0,18.864,7.023,18.864
3.350886,1,,,
3.417830,0,19.388,7.121,19.388
3.424931,1,,,
3.490894,0,19.912,7.189,19.912
3.497883,1,,,
3.563619,0,20.436,7.244,20.436
3.570583,1,,,
3.635583,0,20.960,7.300,20.960
3.642682,1,,,
3.707183,0,21.484,7.308,21.484
3.713993,1,,,
3.778996,0,22.008,7.292,22.008
3.785910,1,,,
3.850900,0,22.532,7.293,22.532
3.857983,1,,,
3.922686,0,23.056,,23.056
3.929600,1,,,
3.994384,0,,,
