"Time","GateState","angle","omega","Angle"
0.120284,0,0.000,,0.000
0.148506,1,,,
0.427103,0,0.524,1.714,0.524
0.457384,1,,,
0.731584,0,1.048,1.706,1.048
0.764891,1,,,
1.041684,0,1.572,1.667,1.572
1.080084,1,,,
1.360584,0,2.096,1.640,2.096
1.397222,1,,,
1.680890,0,2.620,1.637,2.620
1.714084,1,,,
2.000805,0,3.144,1.640,3.144
2.031508,1,,,
2.320104,0,3.668,1.666,3.668
2.349900,1,,,
2.630114,0,4.192,1.690,4.192
2.659484,1,,,
2.940208,0,4.716,1.712,4.716
2.968984,1,,,
3.242402,0,5.240,1.771,5.240
3.269600,1,,,
3.532485,0,5.764,1.802,5.764
3.559683,1,,,
3.823884,0,6.288,1.803,6.288
3.850387,1,,,
4.113621,0,6.812,1.800,6.812
4.142404,1,,,
4.406284,0,7.336,1.771,7.336
4.438684,1,,,
4.705384,0,7.860,1.732,7.860
4.742624,1,,,
5.011502,0,8.384,1.700,8.384
5.047301,1,,,
5.322084,0,8.908,1.685,8.908
5.353784,1,,,
5.633384,0,9.432,1.685,9.432
5.663684,1,,,
5.943984,0,9.956,1.702,9.956
5.973384,1,,,
6.249184,0,10.480,1.725,10.480
6.277784,1,,,
6.551384,0,11.004,1.758,11.004
6.579184,1,,,
6.845584,0,11.528,1.794,11.528
6.872607,1,,,
7.135626,0,12.052,1.809,12.052
7.162885,1,,,
7.424986,0,12.576,1.809,12.576
7.451390,1,,,
7.715106,0,13.100,1.799,13.100
7.743918,1,,,
8.007701,0,13.624,1.776,13.624
8.040286,1,,,
8.305225,0,14.148,1.741,14.148
8.342286,1,,,
8.609787,0,14.672,1.713,14.672
8.645390,1,,,
8.917186,0,15.196,1.703,15.196
8.949014,1,,,
9.225005,0,15.720,1.699,15.720
9.254723,1,,,
9.533903,0,16.244,1.702,16.244
9.563333,1,,,
9.840687,0,16.768,,16.768
9.869112,1,,,
