"Time","GateState","angle","omega","Angle"
0.025608,1,0.000,,0.000
0.147282,0,,,
0.160584,1,0.524,3.886,0.524
0.281784,0,,,
0.295284,1,1.048,3.894,1.048
0.416584,0,,,
0.429714,1,1.572,3.881,1.572
0.551985,0,,,
0.565317,1,2.096,3.860,2.096
0.687820,0,,,
0.701184,1,2.620,3.860,2.620
0.823484,0,,,
0.836798,1,3.144,3.865,3.144
0.959084,0,,,
0.972301,1,3.668,3.870,3.668
1.094384,0,,,
1.107610,1,4.192,3.901,4.192
1.228111,0,,,
1.241001,1,4.716,3.931,4.716
1.361316,0,,,
1.374195,1,5.240,3.949,5.240
1.493421,0,,,
1.506384,1,5.764,3.987,5.764
1.624193,0,,,
1.637084,1,6.288,3.999,6.288
1.755484,0,,,
1.768484,1,6.812,3.987,6.812
1.886784,0,,,
1.899931,1,7.336,3.989,7.336
2.018396,0,,,
2.031217,1,7.860,3.975,7.860
2.150522,0,,,
2.163584,1,8.384,3.954,8.384
2.283284,0,,,
2.296284,1,8.908,3.955,8.908
2.415584,0,,,
2.428584,1,9.432,3.967,9.432
2.547684,0,,,
2.560484,1,9.956,3.988,9.956
2.678584,0,,,
2.691384,1,10.480,4.023,10.480
2.808496,0,,,
2.821029,1,11.004,4.033,11.004
2.938631,0,,,
2.951222,1,11.528,4.039,11.528
3.067784,0,,,
3.080484,1,12.052,4.072,12.052
3.195984,0,,,
3.208584,1,12.576,4.077,12.576
3.324784,0,,,
3.337526,1,13.100,4.053,13.100
3.454186,0,,,
3.467184,1,13.624,4.049,13.624
3.583784,0,,,
3.596384,1,14.148,4.040,14.148
3.713783,0,,,
3.726584,1,14.672,4.015,14.672
3.844584,0,,,
3.857401,1,15.196,4.010,15.196
3.975084,0,,,
3.987921,1,15.720,4.016,15.720
4.105684,0,,,
4.118384,1,16.244,4.023,16.244
4.235684,0,,,
4.248424,1,16.768,4.046,16.768
4.364884,0,,,
4.377384,1,17.292,4.059,17.292
4.494084,0,,,
4.506590,1,17.816,4.068,17.816
4.622395,0,,,
4.634992,1,18.340,4.097,18.340
4.749792,0,,,
4.762384,1,18.864,,18.864
4.877814,0,,,
4.890499,1,,,
