"Time","GateState","angle","omega","Angle"
0.163183,0,0.000,,0.000
0.183583,1,,,
0.359530,0,0.524,2.673,0.524
0.378482,1,,,
0.555182,0,1.048,2.702,1.048
0.573594,1,,,
0.747483,0,1.572,2.728,1.572
0.765507,1,,,
0.939382,0,2.096,2.745,2.096
0.957206,1,,,
1.129287,0,2.620,2.789,2.620
1.146682,1,,,
1.315286,0,3.144,2.812,3.144
1.332684,1,,,
1.501982,0,3.668,2.814,3.668
1.519025,1,,,
1.687683,0,4.192,2.818,4.192
1.706120,1,,,
1.873883,0,4.716,2.806,4.716
1.894384,1,,,
2.061109,0,5.240,2.788,5.240
2.084583,1,,,
2.249782,0,5.764,2.771,5.764
2.272028,1,,,
2.439383,0,6.288,2.769,6.288
2.458818,1,,,
2.628197,0,6.812,2.784,6.812
2.646416,1,,,
2.815882,0,7.336,2.809,7.336
2.833601,1,,,
3.001283,0,7.860,2.830,7.860
3.018601,1,,,
3.186218,0,8.384,2.847,8.384
3.203406,1,,,
3.369383,0,8.908,2.876,8.908
3.386196,1,,,
3.550684,0,9.432,2.882,9.432
3.567701,1,,,
3.732999,0,9.956,2.878,9.956
3.749683,1,,,
3.914782,0,10.480,2.882,10.480
3.932782,1,,,
4.096591,0,11.004,2.870,11.004
4.116783,1,,,
4.279900,0,11.528,2.840,11.528
4.303283,1,,,
4.465694,0,12.052,2.808,12.052
4.487582,1,,,
4.653082,0,12.576,2.799,12.576
4.672418,1,,,
4.840083,0,13.100,2.806,13.100
4.858106,1,,,
5.026514,0,13.624,2.816,13.624
5.044283,1,,,
5.212307,0,14.148,2.826,14.148
5.229683,1,,,
5.397382,0,14.672,2.842,14.672
5.414584,1,,,
5.581083,0,15.196,2.866,15.196
5.597983,1,,,
5.763080,0,15.720,2.875,15.720
5.780083,1,,,
5.945583,0,16.244,2.872,16.244
5.962286,1,,,
6.128028,0,16.768,2.870,16.768
6.146183,1,,,
6.310683,0,17.292,2.861,17.292
6.330801,1,,,
6.494285,0,17.816,2.834,17.816
6.517490,1,,,
6.680483,0,18.340,2.806,18.340
6.702300,1,,,
6.867785,0,18.864,,18.864
6.887183,1,,,
