"Time","GateState","angle","omega","Angle"
0.144585,0,0.000,,0.000
0.171621,1,,,
0.434525,0,0.524,1.812,0.524
0.461010,1,,,
0.722884,0,1.048,1.809,1.048
0.751818,1,,,
1.013984,0,1.572,1.782,1.572
1.046824,1,,,
1.311184,0,2.096,1.748,2.096
1.530993,1,,,
1.613518,0,2.620,1.718,2.620
1.649884,1,,,
1.921189,0,3.144,1.699,3.144
1.952929,1,,,
2.230284,0,3.668,1.693,3.668
2.260490,1,,,
2.540295,0,4.192,1.704,4.192
2.569584,1,,,
2.845484,0,4.716,1.728,4.716
2.873926,1,,,
3.146796,0,5.240,1.759,5.240
3.174682,1,,,
3.441484,0,5.764,1.795,5.764
3.468611,1,,,
3.730712,0,6.288,1.817,6.288
3.757720,1,,,
4.018284,0,6.812,1.824,6.812
4.044584,1,,,
4.305318,0,7.336,1.813,7.336
4.333990,1,,,
4.596224,0,7.860,1.787,7.860
4.629095,1,,,
4.891684,0,8.384,1.755,8.384
5.111515,1,,,
5.193484,0,8.908,1.729,8.908
5.229784,1,,,
5.497692,0,9.432,1.721,9.432
5.529484,1,,,
5.802384,0,9.956,1.718,9.956
5.831898,1,,,
6.107619,0,10.480,1.725,10.480
6.136484,1,,,
6.409784,0,11.004,1.746,11.004
6.437884,1,,,
6.708020,0,11.528,1.770,11.528
6.735630,1,,,
7.001810,0,12.052,1.798,12.052
7.028893,1,,,
7.290884,0,12.576,1.811,12.576
7.317586,1,,,
7.580424,0,13.100,1.806,13.100
7.607286,1,,,
7.871286,0,13.624,1.800,13.624
7.900186,1,,,
8.162486,0,14.148,1.794,14.148
8.194886,1,,,
8.455614,0,14.672,1.768,14.672
8.700287,1,,,
8.755287,0,15.196,1.734,15.196
8.791627,1,,,
9.060088,0,15.720,1.724,15.720
9.091686,1,,,
9.363023,0,16.244,1.723,16.244
9.392489,1,,,
9.668189,0,16.768,1.723,16.768
9.697118,1,,,
9.971190,0,17.292,,17.292
9.999703,1,,,
