"Time","GateState","angle","omega","Angle"
0.111183,0,0.000,,0.000
0.133983,1,,,
0.309003,0,0.524,2.655,0.524
0.329383,1,,,
0.505984,0,1.048,2.671,1.048
0.524884,1,,,
0.701431,0,1.572,2.703,1.572
0.719883,1,,,
0.893783,0,2.096,2.727,2.096
0.911813,1,,,
1.085684,0,2.620,2.743,2.620
1.103527,1,,,
1.275802,0,3.144,2.784,3.144
1.293213,1,,,
1.462183,0,3.668,2.810,3.668
1.479583,1,,,
1.648704,0,4.192,2.819,4.192
1.665784,1,,,
1.833984,0,4.716,2.823,4.716
1.852384,1,,,
2.020008,0,5.240,2.806,5.240
2.040417,1,,,
2.207419,0,5.764,2.781,5.764
2.230283,1,,,
2.396884,0,6.288,2.759,6.288
2.419084,1,,,
2.587221,0,6.812,2.762,6.812
2.606784,1,,,
2.776327,0,7.336,2.777,7.336
2.794483,1,,,
2.964614,0,7.860,2.794,7.860
2.982489,1,,,
3.151410,0,8.384,2.807,8.384
3.168920,1,,,
3.337983,0,8.908,2.824,8.908
3.355283,1,,,
3.522525,0,9.432,2.857,9.432
3.539483,1,,,
3.704884,0,9.956,2.865,9.956
3.721984,1,,,
3.888383,0,10.480,2.857,10.480
3.905183,1,,,
4.071731,0,11.004,2.853,11.004
4.089884,1,,,
4.255684,0,11.528,2.837,11.528
4.276002,1,,,
4.441102,0,12.052,2.809,12.052
4.464084,1,,,
4.628731,0,12.576,2.787,12.576
4.650804,1,,,
4.817183,0,13.100,2.784,13.100
4.836484,1,,,
5.005204,0,13.624,2.795,13.624
5.023283,1,,,
5.192206,0,14.148,2.812,14.148
5.209984,1,,,
5.377884,0,14.672,2.823,14.672
5.395284,1,,,
5.563484,0,15.196,2.835,15.196
5.580688,1,,,
5.747593,0,15.720,2.856,15.720
5.764588,1,,,
5.930383,0,16.244,2.860,16.244
5.947484,1,,,
6.114018,0,16.768,2.854,16.768
6.130884,1,,,
6.297613,0,17.292,2.856,17.292
6.315818,1,,,
6.480928,0,17.816,2.856,17.816
6.501114,1,,,
6.664583,0,18.340,2.837,18.340
6.687196,1,,,
6.850314,0,18.864,,18.864
6.871984,1,,,
