"Time","GateState","angle","omega","Angle"
0.115616,0,0.000,,0.000
0.145008,1,,,
0.411984,0,0.524,1.753,0.524
0.445001,1,,,
0.713484,0,1.048,1.718,1.048
0.753285,1,,,
1.022184,0,1.572,1.689,1.572
1.058584,1,,,
1.333904,0,2.096,1.677,2.096
1.366016,1,,,
1.647217,0,2.620,1.685,2.620
1.677484,1,,,
1.955784,0,3.144,1.704,3.144
1.985084,1,,,
2.262384,0,3.668,1.711,3.668
2.291084,1,,,
2.568291,0,4.192,1.737,4.192
2.596484,1,,,
2.865983,0,4.716,1.772,4.716
2.893325,1,,,
3.159684,0,5.240,1.791,5.240
3.187095,1,,,
3.451109,0,5.764,1.801,5.764
3.477784,1,,,
3.741484,0,6.288,1.787,6.288
3.770514,1,,,
4.037784,0,6.812,1.748,6.812
4.070812,1,,,
4.341184,0,7.336,1.705,7.336
4.379884,1,,,
4.652784,0,7.860,1.679,7.860
4.689727,1,,,
4.965384,0,8.384,1.674,8.384
4.998084,1,,,
5.278888,0,8.908,1.660,8.908
5.309484,1,,,
5.596816,0,9.432,1.668,9.432
5.626808,1,,,
5.907184,0,9.956,1.708,9.956
5.935894,1,,,
6.210584,0,10.480,1.743,10.480
6.238496,1,,,
6.508484,0,11.004,1.781,11.004
6.535784,1,,,
6.799184,0,11.528,1.801,11.528
6.826084,1,,,
7.090484,0,12.052,1.796,12.052
7.117284,1,,,
7.382585,0,12.576,1.786,12.576
7.411884,1,,,
7.677295,0,13.100,1.770,13.100
7.709785,1,,,
7.974632,0,13.624,1.749,13.624
8.013686,1,,,
8.276508,0,14.148,1.722,14.148
8.312925,1,,,
8.583214,0,14.672,1.708,14.672
8.614885,1,,,
8.890186,0,15.196,1.702,15.196
8.920204,1,,,
9.198987,0,15.720,1.702,15.720
9.228006,1,,,
9.505917,0,16.244,1.706,16.244
9.534994,1,,,
9.813389,0,16.768,,16.768
9.841710,1,,,
