"Time","GateState","angle","omega","Angle"
0.028184,0,0.000,,0.000
0.033384,1,,,
0.081212,0,0.524,9.859,0.524
0.086318,1,,,
0.134484,0,1.048,9.850,1.048
0.139522,1,,,
0.187606,0,1.572,9.778,1.572
0.192891,1,,,
0.241684,0,2.096,9.624,2.096
0.246884,1,,,
0.296514,0,2.620,9.527,2.620
0.301784,1,,,
0.351688,0,3.144,9.393,3.144
0.357084,1,,,
0.408109,0,3.668,9.203,3.668
0.413518,1,,,
0.465584,0,4.192,9.038,4.192
0.471184,1,,,
0.524084,0,4.716,8.883,4.716
0.529784,1,,,
0.583585,0,5.240,8.749,5.240
0.589384,1,,,
0.643884,0,5.764,8.654,5.764
0.649692,1,,,
0.704684,0,6.288,8.561,6.288
0.710724,1,,,
0.766316,0,6.812,8.476,6.812
0.772284,1,,,
0.828323,0,7.336,8.444,7.336
0.834284,1,,,
0.890423,0,7.860,8.361,7.860
0.896599,1,,,
0.953684,0,8.384,8.211,8.384
0.959802,1,,,
1.018084,0,8.908,8.099,8.908
1.024211,1,,,
1.083084,0,9.432,7.960,9.432
1.089429,1,,,
1.149789,0,9.956,7.771,9.956
1.156191,1,,,
1.217984,0,10.480,7.605,10.480
1.224684,1,,,
1.287622,0,11.004,7.435,11.004
1.294484,1,,,
1.358984,0,11.528,7.296,11.528
1.365896,1,,,
1.431284,0,12.052,7.206,12.052
1.438302,1,,,
1.504428,0,12.576,7.104,12.576
1.511714,1,,,
1.578828,0,13.100,7.016,13.100
1.586009,1,,,
1.653810,0,13.624,6.975,13.624
1.660984,1,,,
1.729084,0,14.148,6.884,14.148
1.736584,1,,,
1.806084,0,14.672,6.731,14.672
1.813584,1,,,
1.884808,0,15.196,6.611,15.196
1.892325,1,,,
1.964627,0,15.720,6.468,15.720
1.972484,1,,,
2.046906,0,16.244,6.282,16.244
2.054884,1,,,
2.131515,0,16.768,6.104,16.768
2.139884,1,,,
2.218684,0,17.292,5.931,17.292
2.227201,1,,,
2.308284,0,17.816,5.790,17.816
2.317081,1,,,
2.399712,0,18.340,5.683,18.340
2.408592,1,,,
2.492727,0,18.864,5.571,18.864
2.502025,1,,,
2.587884,0,19.388,5.469,19.388
2.597084,1,,,
2.684384,0,19.912,5.407,19.912
2.693584,1,,,
2.781728,0,20.436,5.301,20.436
2.791484,1,,,
2.882184,0,20.960,5.135,20.960
2.891984,1,,,
2.985914,0,21.484,4.990,21.484
2.995886,1,,,
3.092284,0,22.008,4.824,22.008
3.102784,1,,,
3.203384,0,22.532,4.626,22.532
3.214116,1,,,
3.318993,0,23.056,4.443,23.056
3.330484,1,,,
3.439484,0,23.580,4.264,23.580
3.451327,1,,,
3.564984,0,24.104,4.106,24.104
3.577301,1,,,
3.694884,0,24.628,3.980,24.628
3.707584,1,,,
3.828384,0,25.152,3.865,25.152
3.841784,1,,,
3.966196,0,25.676,,25.676
3.979684,1,,,
