"Time","GateState","angle","omega","Angle"
0.046184,0,0.000,,0.000
0.063784,1,,,
0.228984,0,0.524,2.891,0.524
0.246424,1,,,
0.408701,0,1.048,2.976,1.048
0.426084,1,,,
0.581384,0,1.572,3.100,1.572
0.597584,1,,,
0.747100,0,2.096,3.210,2.096
0.762822,1,,,
0.907984,0,2.620,3.329,2.620
0.923284,1,,,
1.062220,0,3.144,3.483,3.144
1.076784,1,,,
1.209184,0,3.668,3.660,3.668
1.222900,1,,,
1.348892,0,4.192,3.821,4.192
1.362122,1,,,
1.483624,0,4.716,3.938,4.716
1.496382,1,,,
1.615084,0,5.240,4.045,5.240
1.627506,1,,,
1.742797,0,5.764,4.136,5.764
1.755230,1,,,
1.868506,0,6.288,4.166,6.288
1.880484,1,,,
1.994384,0,6.812,4.172,6.812
2.006413,1,,,
2.119684,0,7.336,4.195,7.336
2.131992,1,,,
2.244217,0,7.860,4.233,7.860
2.256126,1,,,
2.367296,0,8.384,4.292,8.384
2.379084,1,,,
2.488419,0,8.908,4.383,8.908
2.499993,1,,,
2.606488,0,9.432,4.506,9.432
2.617730,1,,,
2.721121,0,9.956,4.635,9.956
2.731994,1,,,
2.832696,0,10.480,4.780,10.480
2.843284,1,,,
2.940508,0,11.004,4.905,11.004
2.950724,1,,,
3.046384,0,11.528,4.997,11.528
3.056397,1,,,
3.150284,0,12.052,5.078,12.052
3.160412,1,,,
3.252784,0,12.576,5.106,12.576
3.262584,1,,,
3.355526,0,13.100,5.099,13.100
3.365400,1,,,
3.458316,0,13.624,5.108,13.624
3.468484,1,,,
3.560709,0,14.148,5.138,14.148
3.570527,1,,,
3.662284,0,14.672,5.173,14.672
3.672084,1,,,
3.763284,0,15.196,5.230,15.196
3.772984,1,,,
3.862682,0,15.720,5.332,15.720
3.872183,1,,,
3.959884,0,16.244,,16.244
3.969131,1,,,
