"Time","GateState","angle","omega","Angle"
0.091394,0,0.000,,0.000
0.117797,1,,,
0.378507,0,0.524,1.814,0.524
0.407138,1,,,
0.669105,0,1.048,1.785,1.048
0.701193,1,,,
0.965793,0,1.572,1.747,1.572
1.003936,1,,,
1.269093,0,2.096,1.711,2.096
1.305232,1,,,
1.578593,0,2.620,1.691,2.620
1.610423,1,,,
1.888694,0,3.144,1.691,3.144
1.918793,1,,,
2.198208,0,3.668,1.707,3.668
2.227540,1,,,
2.502793,0,4.192,1.720,4.192
2.531493,1,,,
2.807393,0,4.716,1.737,4.716
2.835493,1,,,
3.106102,0,5.240,1.769,5.240
3.133593,1,,,
3.399994,0,5.764,1.787,5.764
3.427593,1,,,
3.692593,0,6.288,1.787,6.288
3.719333,1,,,
3.986293,0,6.812,1.778,6.812
4.015393,1,,,
4.281993,0,7.336,1.760,7.336
4.314893,1,,,
4.581694,0,7.860,1.725,7.860
4.620093,1,,,
4.889693,0,8.384,1.695,8.384
4.925893,1,,,
5.199893,0,8.908,1.690,8.908
5.231993,1,,,
5.509699,0,9.432,1.690,9.432
5.539629,1,,,
5.820106,0,9.956,1.696,9.956
5.849693,1,,,
6.127792,0,10.480,1.722,10.480
6.155998,1,,,
6.428996,0,11.004,1.758,11.004
6.456893,1,,,
6.723894,0,11.528,1.797,11.528
6.750895,1,,,
7.012194,0,12.052,1.818,12.052
7.038794,1,,,
7.300194,0,12.576,1.818,12.576
7.326831,1,,,
7.588595,0,13.100,1.815,13.100
7.617304,1,,,
7.877696,0,13.624,1.806,13.624
7.909597,1,,,
8.168897,0,14.148,1.781,14.148
8.206197,1,,,
8.466197,0,14.672,1.752,14.672
8.501317,1,,,
8.766998,0,15.196,1.739,15.196
8.798201,1,,,
9.068998,0,15.720,1.726,15.720
9.098426,1,,,
9.374326,0,16.244,1.733,16.244
9.403099,1,,,
9.673800,0,16.768,,16.768
9.702099,1,,,
9.974646,0,,,
