"Time","GateState","angle","omega","Angle"
0.082199,0,0.000,,0.000
0.095484,1,,,
0.218108,0,0.524,3.879,0.524
0.231423,1,,,
0.352394,0,1.048,3.902,1.048
0.365584,1,,,
0.486683,0,1.572,3.909,1.572
0.499896,1,,,
0.620483,0,2.096,3.912,2.096
0.633883,1,,,
0.754584,0,2.620,3.898,2.620
0.767605,1,,,
0.889316,0,3.144,3.879,3.144
0.902593,1,,,
1.024782,0,3.668,3.872,3.668
1.038026,1,,,
1.159983,0,4.192,3.875,4.192
1.173283,1,,,
1.295223,0,4.716,3.877,4.716
1.308410,1,,,
1.430283,0,5.240,3.900,5.240
1.443484,1,,,
1.563984,0,5.764,3.923,5.764
1.576883,1,,,
1.697398,0,6.288,3.944,6.288
1.710302,1,,,
1.829713,0,6.812,3.982,6.812
1.842683,1,,,
1.960583,0,7.336,3.996,7.336
1.973483,1,,,
2.092004,0,7.860,3.988,7.860
2.105001,1,,,
2.223383,0,8.384,3.986,8.384
2.236493,1,,,
2.354920,0,8.908,3.976,8.908
2.367784,1,,,
2.486983,0,9.432,3.958,9.432
2.499983,1,,,
2.619683,0,9.956,3.952,9.956
2.632683,1,,,
2.752183,0,10.480,3.955,10.480
2.765191,1,,,
2.884697,0,11.004,3.967,11.004
2.897606,1,,,
3.016383,0,11.528,3.997,11.528
3.029284,1,,,
3.146903,0,12.052,4.014,12.052
3.159500,1,,,
3.277483,0,12.576,4.031,12.576
3.290083,1,,,
3.406909,0,13.100,4.062,13.100
3.419684,1,,,
3.535497,0,13.624,4.067,13.624
3.548183,1,,,
3.664591,0,14.148,4.051,14.148
3.677390,1,,,
3.794228,0,14.672,4.037,14.672
3.807283,1,,,
3.924183,0,15.196,4.025,15.196
3.936883,1,,,
4.054601,0,15.720,4.003,15.720
4.067483,1,,,
4.186023,0,16.244,3.990,16.244
4.198930,1,,,
4.317283,0,16.768,3.988,16.768
4.330195,1,,,
4.448783,0,17.292,3.988,17.292
4.461583,1,,,
4.580083,0,17.816,4.003,17.816
4.592902,1,,,
4.710582,0,18.340,4.015,18.340
4.723130,1,,,
4.841122,0,18.864,4.026,18.864
4.853783,1,,,
4.970883,0,19.388,,19.388
4.983583,1,,,
