"Time","GateState","angle","omega","Angle"
0.137283,0,0.000,,0.000
0.150683,1,,,
0.272483,0,0.524,3.880,0.524
0.285710,1,,,
0.407407,0,1.048,3.891,1.048
0.420783,1,,,
0.541826,0,1.572,3.895,1.572
0.555294,1,,,
0.676491,0,2.096,3.882,2.096
0.689604,1,,,
0.811783,0,2.620,3.866,2.620
0.825086,1,,,
0.947583,0,3.144,3.861,3.144
0.960913,1,,,
1.083183,0,3.668,3.857,3.668
1.096511,1,,,
1.219283,0,4.192,3.851,4.192
1.232510,1,,,
1.355316,0,4.716,3.869,4.716
1.368683,1,,,
1.490182,0,5.240,3.895,5.240
1.503122,1,,,
1.624385,0,5.764,3.921,5.764
1.637384,1,,,
1.757483,0,6.288,3.956,6.288
1.770487,1,,,
1.889283,0,6.812,3.968,6.812
1.902283,1,,,
2.021583,0,7.336,3.961,7.336
2.034684,1,,,
2.153884,0,7.860,3.954,7.860
2.167102,1,,,
2.286616,0,8.384,3.941,8.384
2.299583,1,,,
2.419783,0,8.908,3.931,8.908
2.432883,1,,,
2.553214,0,9.432,3.928,9.432
2.566319,1,,,
2.686588,0,9.956,3.927,9.956
2.699783,1,,,
2.820108,0,10.480,3.941,10.480
2.833096,1,,,
2.952495,0,11.004,3.976,11.004
2.965483,1,,,
3.083683,0,11.528,3.997,11.528
3.096304,1,,,
3.214710,0,12.052,4.018,12.052
3.227383,1,,,
3.344526,0,12.576,4.052,12.576
3.357292,1,,,
3.473383,0,13.100,4.060,13.100
3.486083,1,,,
3.602684,0,13.624,4.046,13.624
3.615484,1,,,
3.732419,0,14.148,4.034,14.148
3.745483,1,,,
3.862483,0,14.672,4.022,14.672
3.875098,1,,,
3.992984,0,15.196,4.000,15.196
4.005883,1,,,
4.124483,0,15.720,3.985,15.720
4.137383,1,,,
4.255983,0,16.244,3.980,16.244
4.268983,1,,,
4.387813,0,16.768,3.984,16.768
4.400683,1,,,
4.519023,0,17.292,4.008,17.292
4.531883,1,,,
4.649322,0,17.816,4.021,17.816
4.661918,1,,,
4.779683,0,18.340,4.035,18.340
4.792283,1,,,
4.909083,0,18.864,,18.864
4.921783,1,,,
