"Time","GateState","angle","omega","Angle"
0.047884,0,0.000,,0.000
0.061113,1,,,
0.181384,0,0.524,3.923,0.524
0.194717,1,,,
0.315012,0,1.048,3.909,1.048
0.328084,1,,,
0.449503,0,1.572,3.888,1.572
0.462784,1,,,
0.584584,0,2.096,3.883,2.096
0.597824,1,,,
0.719416,0,2.620,3.885,2.620
0.732694,1,,,
0.854328,0,3.144,3.887,3.144
0.867484,1,,,
0.989018,0,3.668,3.911,3.668
1.002184,1,,,
1.122284,0,4.192,3.939,4.192
1.135093,1,,,
1.255084,0,4.716,3.961,4.716
1.267927,1,,,
1.386895,0,5.240,3.996,5.240
1.399787,1,,,
1.517384,0,5.764,4.011,5.764
1.530206,1,,,
1.648184,0,6.288,4.006,6.288
1.661131,1,,,
1.779024,0,6.812,4.000,6.812
1.792183,1,,,
1.910188,0,7.336,3.987,7.336
1.922984,1,,,
2.041884,0,7.860,3.970,7.860
2.054825,1,,,
2.174184,0,8.384,3.965,8.384
2.187183,1,,,
2.306184,0,8.908,3.970,8.908
2.319184,1,,,
2.438184,0,9.432,3.983,9.432
2.451031,1,,,
2.569299,0,9.956,4.014,9.956
2.582184,1,,,
2.699284,0,10.480,4.031,10.480
2.711816,1,,,
2.829291,0,11.004,4.048,11.004
2.841884,1,,,
2.958191,0,11.528,4.081,11.528
2.970884,1,,,
3.086110,0,12.052,4.087,12.052
3.098700,1,,,
3.214614,0,12.576,4.067,12.576
3.227384,1,,,
3.343784,0,13.100,4.053,13.100
3.356725,1,,,
3.473184,0,13.624,4.041,13.624
3.485784,1,,,
3.603128,0,14.148,4.017,14.148
3.615984,1,,,
3.734090,0,14.672,4.003,14.672
3.746984,1,,,
3.864925,0,15.196,4.003,15.196
3.877821,1,,,
3.995885,0,15.720,4.011,15.720
4.008625,1,,,
4.126184,0,16.244,4.034,16.244
4.138925,1,,,
4.255701,0,16.768,4.044,16.768
4.268284,1,,,
4.385326,0,17.292,4.058,17.292
4.397884,1,,,
4.513984,0,17.816,4.086,17.816
4.526615,1,,,
4.641815,0,18.340,4.087,18.340
4.654418,1,,,
4.770384,0,18.864,4.072,18.864
4.783117,1,,,
4.899209,0,19.388,,19.388
4.912184,1,,,
