"Time","GateState","angle","omega","Angle"
0.022211,0,0.000,,0.000
0.049288,1,,,
0.316184,0,0.524,1.780,0.524
0.345584,1,,,
0.610922,0,1.048,1.763,1.048
0.644284,1,,,
0.910584,0,1.572,1.723,1.572
1.142421,1,,,
1.219484,0,2.096,1.679,2.096
1.256784,1,,,
1.534891,0,2.620,1.657,2.620
1.567597,1,,,
1.851830,0,3.144,1.662,3.144
1.882584,1,,,
2.165520,0,3.668,1.681,3.668
2.195224,1,,,
2.475184,0,4.192,1.697,4.192
2.504084,1,,,
2.783005,0,4.716,1.730,4.716
2.811209,1,,,
3.081384,0,5.240,1.767,5.240
3.108901,1,,,
3.376184,0,5.764,1.784,5.764
3.403684,1,,,
3.668984,0,6.288,1.787,6.288
3.695784,1,,,
3.962729,0,6.812,1.768,6.812
3.992297,1,,,
4.261886,0,7.336,1.733,7.336
4.295884,1,,,
4.567484,0,7.860,1.693,7.860
4.824310,1,,,
4.881184,0,8.384,1.665,8.384
4.919084,1,,,
5.196816,0,8.908,1.661,8.908
5.229884,1,,,
5.512184,0,9.432,1.654,9.432
5.542822,1,,,
5.830287,0,9.956,1.670,9.956
5.860302,1,,,
6.140108,0,10.480,1.713,10.480
6.168796,1,,,
6.442323,0,11.004,1.753,11.004
6.470110,1,,,
6.737984,0,11.528,1.788,11.528
6.765194,1,,,
7.028584,0,12.052,1.799,12.052
7.055593,1,,,
7.320531,0,12.576,1.792,12.576
7.347510,1,,,
7.613518,0,13.100,1.784,13.100
7.642901,1,,,
7.908090,0,13.624,1.770,13.624
7.941185,1,,,
8.205505,0,14.148,1.748,14.148
8.466486,1,,,
8.507603,0,14.672,1.719,14.672
8.544999,1,,,
8.815186,0,15.196,1.712,15.196
8.846886,1,,,
9.119623,0,15.720,1.725,15.720
9.149230,1,,,
9.422816,0,16.244,1.732,16.244
9.451406,1,,,
9.724687,0,16.768,,16.768
9.753112,1,,,
