"Time","GateState","angle","omega","Angle"
0.039716,0,0.000,,0.000
0.046095,1,,,
0.107495,0,0.524,7.648,0.524
0.114184,1,,,
0.176784,0,1.048,7.480,1.048
0.183499,1,,,
0.247630,0,1.572,7.340,1.572
0.254525,1,,,
0.319584,0,2.096,7.239,2.096
0.326519,1,,,
0.392405,0,2.620,7.130,2.620
0.399684,1,,,
0.466584,0,3.144,7.039,3.144
0.473684,1,,,
0.541284,0,3.668,7.001,3.668
0.548393,1,,,
0.616287,0,4.192,6.910,4.192
0.623784,1,,,
0.692984,0,4.716,6.759,4.716
0.700399,1,,,
0.771384,0,5.240,6.638,5.240
0.778884,1,,,
0.850884,0,5.764,6.496,5.764
0.858684,1,,,
0.932784,0,6.288,6.308,6.288
0.940684,1,,,
1.017084,0,6.812,6.127,6.812
1.025386,1,,,
1.103905,0,7.336,5.956,7.336
1.112411,1,,,
1.193118,0,7.860,5.807,7.860
1.201829,1,,,
1.284413,0,8.384,5.685,8.384
1.293309,1,,,
1.377485,0,8.908,5.576,8.908
1.386789,1,,,
1.472399,0,9.432,5.482,9.432
1.481584,1,,,
1.568684,0,9.956,5.419,9.956
1.577884,1,,,
1.665784,0,10.480,5.314,10.480
1.675484,1,,,
1.766016,0,11.004,5.150,11.004
1.775784,1,,,
1.869384,0,11.528,5.013,11.528
1.879294,1,,,
1.975127,0,12.052,4.852,12.052
1.985594,1,,,
2.085584,0,12.576,4.656,12.576
2.096284,1,,,
2.200385,0,13.100,4.478,13.100
2.211696,1,,,
2.319826,0,13.624,4.301,13.624
2.331606,1,,,
2.444284,0,14.148,4.143,14.148
2.456492,1,,,
2.572926,0,14.672,4.014,14.672
2.585499,1,,,
2.705484,0,15.196,3.881,15.196
2.718831,1,,,
2.843188,0,15.720,3.752,15.720
2.856684,1,,,
2.984916,0,16.244,3.651,16.244
2.998584,1,,,
3.130318,0,16.768,3.517,16.768
3.145016,1,,,
3.283294,0,17.292,3.342,17.292
3.298387,1,,,
3.444304,0,17.816,3.180,17.816
3.459904,1,,,
3.613284,0,18.340,2.991,18.340
3.630220,1,,,
3.795684,0,18.864,,18.864
3.813784,1,,,
3.993296,0,,,
