"Time","GateState","angle","omega","Angle"
0.115284,0,0.000,,0.000
0.129684,1,,,
0.261984,0,0.524,3.619,0.524
0.275823,1,,,
0.404985,0,1.048,3.741,1.048
0.418522,1,,,
0.542322,0,1.572,3.895,1.572
0.555384,1,,,
0.674284,0,2.096,4.056,2.096
0.686684,1,,,
0.800930,0,2.620,4.220,2.620
0.812890,1,,,
0.922784,0,3.144,4.354,3.144
0.934284,1,,,
1.041684,0,3.668,4.469,3.668
1.052929,1,,,
1.157386,0,4.192,4.567,4.192
1.168684,1,,,
1.271185,0,4.716,4.619,4.716
1.281984,1,,,
1.384297,0,5.240,4.643,5.240
1.395184,1,,,
1.496915,0,5.764,4.666,5.764
1.507984,1,,,
1.608884,0,6.288,4.700,6.288
1.619607,1,,,
1.719884,0,6.812,4.746,6.812
1.730517,1,,,
1.829705,0,7.336,4.823,7.336
1.840211,1,,,
1.937212,0,7.860,4.935,7.860
1.947484,1,,,
2.042120,0,8.384,5.055,8.384
2.052089,1,,,
2.144584,0,8.908,5.196,8.908
2.154284,1,,,
2.243911,0,9.432,5.315,9.432
2.253384,1,,,
2.341795,0,9.956,5.392,9.956
2.351094,1,,,
2.438302,0,10.480,5.453,10.480
2.447784,1,,,
2.533984,0,11.004,5.473,11.004
2.543084,1,,,
2.629784,0,11.528,5.474,11.528
2.638984,1,,,
2.725431,0,12.052,5.490,12.052
2.734884,1,,,
2.820684,0,12.576,5.525,12.576
2.829811,1,,,
2.915104,0,13.100,5.570,13.100
2.924185,1,,,
3.008824,0,13.624,5.636,13.624
3.017807,1,,,
3.101085,0,14.148,5.737,14.148
3.109884,1,,,
3.191529,0,14.672,5.852,14.672
3.200184,1,,,
3.280200,0,15.196,5.971,15.196
3.288684,1,,,
3.367089,0,15.720,6.048,15.720
3.375384,1,,,
3.453484,0,16.244,6.108,16.244
3.461697,1,,,
3.538690,0,16.768,6.172,16.768
3.547081,1,,,
3.623286,0,17.292,6.187,17.292
3.631384,1,,,
3.708084,0,17.816,6.172,17.816
3.716284,1,,,
3.793083,0,18.340,6.179,18.340
3.801394,1,,,
3.877684,0,18.864,6.209,18.864
3.885787,1,,,
3.961884,0,19.388,,19.388
3.969984,1,,,
