"Time","GateState","angle","omega","Angle"
0.123983,0,0.000,,0.000
0.137025,1,,,
0.259183,0,0.524,3.864,0.524
0.272529,1,,,
0.395183,0,1.048,3.857,1.048
0.408517,1,,,
0.530882,0,1.572,3.860,1.572
0.544283,1,,,
0.666683,0,2.096,3.864,2.096
0.679890,1,,,
0.802082,0,2.620,3.893,2.620
0.815382,1,,,
0.935903,0,3.144,3.922,3.144
0.948809,1,,,
1.069282,0,3.668,3.946,3.668
1.082182,1,,,
1.201482,0,4.192,3.986,4.192
1.214401,1,,,
1.332223,0,4.716,3.999,4.716
1.345122,1,,,
1.463582,0,5.240,3.990,5.240
1.476583,1,,,
1.594911,0,5.764,3.981,5.764
1.608083,1,,,
1.726820,0,6.288,3.965,6.288
1.739682,1,,,
1.859211,0,6.812,3.952,6.812
1.872283,1,,,
1.992016,0,7.336,3.951,7.336
2.005082,1,,,
2.124481,0,7.860,3.959,7.860
2.137482,1,,,
2.256723,0,8.384,3.977,8.384
2.269591,1,,,
2.388021,0,8.908,4.008,8.908
2.400882,1,,,
2.518183,0,9.432,4.025,9.432
2.530715,1,,,
2.648383,0,9.956,4.043,9.956
2.660982,1,,,
2.777386,0,10.480,4.076,10.480
2.790082,1,,,
2.905482,0,11.004,4.081,11.004
2.918082,1,,,
3.034182,0,11.528,4.061,11.528
3.046982,1,,,
3.163582,0,12.052,4.046,12.052
3.176497,1,,,
3.293182,0,12.576,4.037,12.576
3.305782,1,,,
3.423192,0,13.100,4.018,13.100
3.436014,1,,,
3.553982,0,13.624,4.010,13.624
3.566813,1,,,
3.684524,0,14.148,4.013,14.148
3.697388,1,,,
3.815121,0,14.672,4.020,14.672
3.827882,1,,,
3.945196,0,15.196,4.042,15.196
3.957983,1,,,
4.074383,0,15.720,4.054,15.720
4.086882,1,,,
4.203682,0,16.244,4.066,16.244
4.216184,1,,,
4.332125,0,16.768,4.094,16.768
4.344783,1,,,
4.459682,0,17.292,4.098,17.292
4.472282,1,,,
4.587888,0,17.816,4.082,17.816
4.600595,1,,,
4.716397,0,18.340,4.068,18.340
4.729300,1,,,
4.845504,0,18.864,4.048,18.864
4.858082,1,,,
4.975294,0,19.388,,19.388
4.988082,1,,,
