"Time","GateState","angle","omega","Angle"
0.100183,0,0.000,,0.000
0.124283,1,,,
0.296484,0,0.524,2.668,0.524
0.319283,1,,,
0.492983,0,1.048,2.673,1.048
0.513283,1,,,
0.688583,0,1.572,2.685,1.572
0.707383,1,,,
0.883295,0,2.096,2.710,2.096
0.901683,1,,,
1.075383,0,2.620,2.732,2.620
1.093383,1,,,
1.266890,0,3.144,2.751,3.144
1.284683,1,,,
1.456411,0,3.668,2.788,3.668
1.473792,1,,,
1.642883,0,4.192,2.802,4.192
1.660316,1,,,
1.830483,0,4.716,2.803,4.716
1.847609,1,,,
2.016783,0,5.240,2.809,5.240
2.035228,1,,,
2.203590,0,5.764,2.796,5.764
2.224209,1,,,
2.391591,0,6.288,2.774,6.288
2.414797,1,,,
2.581384,0,6.812,2.749,6.812
2.603884,1,,,
2.772800,0,7.336,2.741,7.336
2.792583,1,,,
2.963783,0,7.860,2.749,7.860
2.982183,1,,,
3.154083,0,8.384,2.767,8.384
3.172181,1,,,
3.342583,0,8.908,2.784,8.908
3.360216,1,,,
3.530481,0,9.432,2.803,9.432
3.547884,1,,,
3.716483,0,9.956,2.829,9.956
3.733518,1,,,
3.900983,0,10.480,2.826,10.480
3.918383,1,,,
4.087283,0,11.004,2.817,11.004
4.104315,1,,,
4.272996,0,11.528,2.822,11.528
4.291383,1,,,
4.458683,0,12.052,2.809,12.052
4.479310,1,,,
4.646120,0,12.576,2.777,12.576
4.669625,1,,,
4.836083,0,13.100,2.751,13.100
4.858583,1,,,
5.027083,0,13.624,2.747,13.624
5.046784,1,,,
5.217530,0,14.148,2.759,14.148
5.235883,1,,,
5.406883,0,14.672,2.772,14.672
5.424925,1,,,
5.595584,0,15.196,2.781,15.196
5.613183,1,,,
5.783683,0,15.720,2.796,15.720
5.801184,1,,,
5.970414,0,16.244,2.814,16.244
5.987695,1,,,
6.156083,0,16.768,2.818,16.768
6.173418,1,,,
6.342283,0,17.292,2.816,17.292
6.359326,1,,,
6.528190,0,17.816,2.821,17.816
6.546683,1,,,
6.713814,0,18.340,2.819,18.340
6.734382,1,,,
6.899919,0,18.864,,18.864
6.923111,1,,,
