time,angle,omega
1.111005,0.785,0.998
1.820902,1.570,1.227
2.411911,2.355,1.450
2.916924,3.140,1.673
3.358898,3.925,1.879
3.756984,4.710,2.066
4.121794,5.495,2.224
4.464384,6.280,2.352
4.790184,7.065,2.451
5.105310,7.850,2.547
5.407184,8.635,2.660
5.696020,9.420,2.780
5.972384,10.205,2.901
6.237708,10.990,3.025
6.491898,11.775,3.141
6.737884,12.560,3.239
6.976884,13.345,3.312
7.212010,14.130,3.374
7.442299,14.915,3.449
7.667386,15.700,3.539
7.886130,16.485,3.633
8.099686,17.270,3.731
8.307087,18.055,3.829
8.509787,18.840,3.915
8.708220,19.625,3.974
8.904888,20.410,4.030
9.097889,21.195,4.107
9.287190,21.980,4.189
9.472789,22.765,4.265
9.655390,23.550,4.346
