time,angle,omega
1.234682,0.785,1.024
1.929483,1.570,1.250
2.510986,2.355,1.468
3.010983,3.140,1.686
3.449910,3.925,1.893
3.844883,4.710,2.083
4.206583,5.495,2.245
4.545788,6.280,2.377
4.867883,7.065,2.481
5.179011,7.850,2.580
5.476885,8.635,2.698
5.761518,9.420,2.824
6.033484,10.205,2.946
6.294883,10.990,3.070
6.545383,11.775,3.187
6.787811,12.560,3.284
7.023584,13.345,3.357
7.255618,14.130,3.427
7.481884,14.915,3.515
7.702403,15.700,3.609
7.917086,16.485,3.700
8.126886,17.270,3.796
8.330886,18.055,3.891
8.530428,18.840,3.972
8.726195,19.625,4.027
8.920308,20.410,4.083
9.110805,21.195,4.160
9.297735,21.980,4.240
9.481188,22.765,4.314
9.661730,23.550,4.395
