time,angle,omega
0.530584,0.785,2.236
0.862184,1.570,2.480
1.166015,2.355,2.703
1.445130,3.140,2.931
1.703284,3.925,3.156
1.943784,4.710,3.366
2.170497,5.495,3.570
2.384324,6.280,3.764
2.588084,7.065,3.940
2.783190,7.850,4.086
2.972484,8.635,4.228
3.154790,9.420,4.384
3.330788,10.205,4.539
3.500884,10.990,4.682
3.666220,11.775,4.829
3.826184,12.560,4.979
3.981696,13.345,5.116
4.133184,14.130,5.229
4.281998,14.915,5.344
4.427084,15.700,5.478
4.568706,16.485,5.607
4.707184,17.270,5.719
4.843284,18.055,5.838
4.976184,18.840,5.966
5.106484,19.625,6.084
5.234284,20.410,6.176
5.360698,21.195,6.271
5.484684,21.980,6.389
5.606484,22.765,6.498
5.726318,23.550,6.586
5.844884,24.335,6.685
5.961228,25.120,6.799
6.075829,25.905,6.906
6.188610,26.690,6.985
6.300588,27.475,7.067
6.410784,28.260,7.173
6.519484,29.045,7.269
6.626785,29.830,7.346
6.733222,30.615,7.431
6.838085,31.400,7.536
6.941585,32.185,7.637
7.043686,32.970,7.707
7.145292,33.755,7.777
7.245586,34.540,7.874
7.344686,35.325,7.962
7.442786,36.110,8.023
7.540387,36.895,8.101
7.636616,37.680,8.202
7.731826,38.465,8.296
7.825889,39.250,8.360
7.919631,40.035,8.423
8.012290,40.820,8.516
8.103998,41.605,8.594
8.194988,42.390,8.649
8.285530,43.175,8.718
8.375091,43.960,8.808
8.463791,44.745,8.896
8.551591,45.530,8.951
8.639192,46.315,9.008
8.725893,47.100,9.091
8.811893,47.885,9.165
8.897198,48.670,9.213
8.982313,49.455,9.272
9.066538,50.240,9.358
9.150095,51.025,9.444
9.232794,51.810,9.501
9.315340,52.595,9.555
9.397113,53.380,9.635
9.478296,54.165,9.705
9.558897,54.950,9.749
9.639333,55.735,9.807
9.719002,56.520,9.889
9.798098,57.305,9.975
9.876398,58.090,10.026
