'time','angle','omega'
0.922492,0.785,1.887
1.304616,1.570,2.219
1.636882,2.355,2.512
1.933582,3.140,2.769
2.205910,3.925,2.990
2.459984,4.710,3.172
2.701483,5.495,3.349
2.929516,6.280,3.539
3.145794,7.065,3.723
3.351683,7.850,3.894
3.549282,8.635,4.065
3.738325,9.420,4.232
3.920482,10.205,4.387
4.096401,10.990,4.515
4.268286,11.775,4.645
4.434586,12.560,4.793
4.595983,13.345,4.936
4.752785,14.130,5.062
4.906204,14.915,5.192
5.055285,15.700,5.329
5.200882,16.485,5.459
5.342983,17.270,5.562
5.483182,18.055,5.664
5.620229,18.840,5.786
5.754586,19.625,5.899
5.886420,20.410,5.995
6.016482,21.195,6.104
6.143700,21.980,6.226
6.268682,22.765,6.340
6.391382,23.550,6.426
6.512996,24.335,6.512
6.632515,25.120,6.620
6.750197,25.905,6.721
6.866128,26.690,6.805
6.980918,27.475,6.897
7.093783,28.260,7.008
7.204984,29.045,7.111
7.314585,29.830,7.185
7.423485,30.615,7.262
7.530800,31.400,7.360
7.636822,32.185,7.447
7.741623,32.970,7.513
7.845786,33.755,7.593
7.948415,34.540,7.692
8.049898,35.325,7.785
8.150104,36.110,7.850
8.249910,36.895,7.915
8.348488,37.680,8.008
8.445988,38.465,8.089
8.542588,39.250,8.147
8.638688,40.035,8.220
8.733609,40.820,8.312
8.827590,41.605,8.401
8.920510,42.390,8.459
9.013190,43.175,8.520
9.104790,43.960,8.608
9.195591,44.745,8.683
9.285607,45.530,8.732
9.375392,46.315,8.796
9.464102,47.100,8.885
9.552092,47.885,8.970
9.639131,48.670,9.023
9.726092,49.455,9.078
9.812094,50.240,9.160
9.897493,51.025,9.225
